Designator,Mid X,Mid Y,Rotation,Layer
C1,121.2,-86.4,270.0,top
C10,113.405,-94.7625,90.0,top
C11,114.905,-94.7625,90.0,top
C12,108.4,-94.7625,90.0,top
C13,106.9,-94.7625,90.0,top
C14,101.8,-99.4375,180.0,top
C15,140.1,-43.6,0.0,top
C16,152.0,-43.6,180.0,top
C2,138.48,-65.32,0.0,top
C23,105.4,-111.7375,270.0,top
C27,107.9,-115.3375,180.0,top
C3,146.9,-50.4575,270.0,top
C37,102.3,-120.0,90.0,top
C38,133.1,-78.7,180.0,top
C39,133.1,-80.2,180.0,top
C4,105.4,-94.7625,90.0,top
C40,146.7825,-61.195,270.0,top
C41,153.4825,-60.395,0.0,top
C42,104.9,-92.3375,0.0,top
C43,144.205,-78.0,90.0,top
C44,133.1,-77.2,180.0,top
C45,146.805,-79.5,0.0,top
C46,145.775,-71.2,0.0,top
C47,146.805,-81.0,0.0,top
C48,145.775,-69.7,0.0,top
C49,145.775,-75.7,0.0,top
C5,114.305,-111.7375,270.0,top
C50,148.075,-71.9,90.0,top
C51,148.075,-74.9,90.0,top
C52,153.4825,-61.995,0.0,top
C6,112.805,-111.7375,270.0,top
C7,99.5,-106.2,180.0,top
C8,116.725,-98.0375,0.0,top
C9,117.7,-106.0,270.0,top
D2,135.38,-63.82,0.0,top
D3,122.8,-86.4,90.0,top
D4,150.0,-53.3575,270.0,top
D5,134.2,-88.4,270.0,top
D6,134.2,-99.7,270.0,top
D7,134.2,-111.8,270.0,top
D8,134.2,-123.1,270.0,top
FB1,142.48,-64.32,180.0,top
FB2,146.9,-54.5575,270.0,top
FB3,139.4,-79.8,0.0,top
J1,93.5,-122.3,180.0,top
J10,117.95,-127.97,90.0,top
J2,165.7,-75.3,270.0,top
J3,163.875,-49.8075,180.0,top
J4,158.35,-63.3,90.0,top
J5,109.805,-41.675,180.0,top
J6,162.6,-88.4,90.0,top
J7,162.6,-100.0,90.0,top
J8,162.6,-111.7,90.0,top
J9,162.6,-123.3,90.0,top
K1,147.015,-88.39,0.0,top
K2,147.015,-99.99,0.0,top
K3,147.015,-111.69,0.0,top
K4,147.015,-123.39,0.0,top
R1,112.505,-46.1,180.0,top
R17,110.5,-111.7375,270.0,top
R2,106.905,-46.1,0.0,top
R22,97.805,-49.475,90.0,top
R23,91.505,-49.4,90.0,top
R3,109.9,-94.7625,270.0,top
R34,145.775,-74.2,0.0,top
R4,119.7,-86.4,270.0,top
R42,145.775,-72.7,0.0,top
R5,124.4,-86.4,90.0,top
R6,111.4,-94.7625,270.0,top
R7,138.48,-63.82,180.0,top
R8,125.645,-99.9,180.0,top
R9,124.9,-97.5,90.0,top
SW1,95.905,-43.4,90.0,top
SW2,89.605,-43.4,90.0,top
SW3,83.81,-101.65,180.0,top
U1,137.7,-55.8,270.0,top
U2,122.0,-89.875,0.0,bottom
U3,109.3,-103.6,90.0,top
U4,98.6,-94.3375,270.0,top
U5,139.475,-75.4,90.0,top
U6,149.77,-61.15,0.0,top
U7,149.77,-64.95,180.0,top
U8,125.6,-107.2,270.0,top
Y1,107.95,-112.3375,90.0,top
