Designator,Mid X,Mid Y,Rotation,Layer
C1,104.7,-65.4758,270.0,top
C10,128.3,-80.185,270.0,top
C11,128.3,-77.0,180.0,top
C12,140.1,-76.51,0.0,top
C13,132.8,-80.185,270.0,top
C14,134.3,-80.185,270.0,top
C15,80.4,-74.6008,90.0,top
C16,171.3,-67.2,270.0,top
C17,120.5,-69.3,90.0,top
C18,125.0,-69.3,90.0,top
C19,119.6,-66.9,0.0,top
C2,85.8,-71.4758,180.0,top
C20,119.6,-65.4,0.0,top
C21,122.4,-62.2,90.0,bottom
C23,137.75,-65.01,90.0,top
C27,135.15,-61.41,0.0,top
C3,88.5,-63.5758,180.0,top
C37,143.6,-76.51,0.0,top
C4,135.8,-80.185,270.0,top
C40,115.3,-62.4,180.0,top
C41,116.0,-69.0,270.0,top
C42,136.5,-82.71,180.0,top
C5,129.55,-65.01,90.0,top
C52,114.4,-69.0,270.0,top
C6,128.7,-68.1,90.0,top
C7,131.05,-65.01,90.0,top
C8,128.3,-75.5,180.0,top
C9,136.9,-83.2,90.0,bottom
D2,178.0,-83.1125,270.0,top
D3,83.2,-65.0758,180.0,top
D4,99.1,-63.6758,0.0,top
D5,180.615,-72.505,90.0,top
D6,178.045,-72.495,270.0,bottom
FB1,101.4,-65.7758,0.0,top
FB2,89.4,-65.6758,0.0,top
FB3,122.0,-69.3,270.0,top
FB4,123.5,-69.3,270.0,top
J1,146.875,-67.71,0.0,top
J2,76.35,-68.2758,90.0,bottom
J3,121.9,-73.95,0.0,top
J4,76.35,-76.7758,90.0,bottom
J5,154.4,-80.51,0.0,top
J6,112.1,-73.95,0.0,top
Q1,179.2,-77.9375,270.0,top
Q2,175.7,-77.9375,270.0,top
R1,179.8,-68.3,0.0,top
R10,102.2,-63.6758,180.0,top
R13,85.4,-62.0,0.0,top
R14,88.5,-62.0,0.0,top
R15,135.3,-83.2,90.0,bottom
R16,175.7,-80.7,0.0,top
R17,132.55,-65.01,90.0,top
R18,174.9,-73.8,0.0,top
R2,179.2,-80.7,0.0,top
R20,124.0,-62.2,90.0,bottom
R22,169.9,-74.81,0.0,top
R23,166.825,-74.81,0.0,top
R3,179.6,-83.1125,270.0,top
R4,131.3,-80.185,90.0,top
R5,152.2,-76.11,0.0,top
R6,129.8,-80.185,90.0,top
R7,156.9,-76.11,180.0,top
R8,89.8,-76.9758,0.0,top
R9,119.6,-63.9,0.0,top
SW1,169.5,-80.01,90.0,top
SW2,163.4,-80.01,90.0,top
SW3,102.0,-72.7,90.0,bottom
SW4,160.305,-70.3225,0.0,top
U1,98.58,-74.3558,0.0,top
U10,144.1,-72.1,180.0,bottom
U2,83.95,-78.9758,180.0,top
U3,134.0,-72.2725,270.0,top
U4,142.8,-81.31,90.0,top
U5,123.29,-65.59,270.0,top
U6,115.2,-65.3,270.0,top
U7,111.5,-65.3,90.0,top
U8,130.5,-83.975,0.0,top
U9,128.8,-61.525,180.0,top
Y1,135.15,-64.41,270.0,top
