Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C18, C2, C20, C3, C4, C5, C6, C7, C8",603,13,100n,C14663
C16,603,1,22n,C21122
C17,603,1,220n,C21120
"D1, D2",D_SOD-123,2,1N4148W,C81598
D4,D_SOD-123F,1,SM4007,C64898
"R1, R11, R21",603,3,47k,C25819
"R10, R14, R15, R19, R20, R22, R3, R5, R6, R7, R9",603,11,10k,C25804
R12,603,1,22,C23345
"R13, R18, R2",603,3,1k,C21190
"R16, R4",603,2,470k,C23178
"R17, R8",603,2,22k,C31850
"U1, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,TL072,C6961
U5,SOT-89-3,1,L78L05_SOT89,C71136
