Designator,Mid X,Mid Y,Rotation,Layer
C1,60.85,-56.4,0.0,top
C10,30.95,-4.85,90.0,top
C11,68.8,-10.667621,270.0,top
C12,60.1,-24.15,90.0,top
C13,39.66,-21.915,0.0,top
C14,35.06,-23.065,0.0,top
C15,30.95,-13.15,90.0,top
C16,41.95,-16.8,270.0,top
C17,40.4,-16.8,270.0,top
C18,24.46,-20.465,0.0,top
C19,12.3,-13.43238,90.0,top
C2,96.75,-18.3,180.0,top
C20,22.835,-18.915,0.0,top
C3,96.75,-24.65,180.0,top
C4,96.75,-19.9,0.0,top
C5,82.825,-18.65,180.0,top
C6,93.45,-17.15,180.0,top
C7,38.1,-17.25,180.0,top
C8,76.1,-16.5,180.0,top
C9,89.4,-11.282379,90.0,top
D1,64.475,-21.0,90.0,top
D2,64.475,-25.95,270.0,top
D3,23.0,-26.0,180.0,bottom
D4,49.865,-5.66738,180.0,top
D5,80.0,-26.0,180.0,bottom
J1,45.225,-21.24,180.0,top
J2,55.15,-22.0,270.0,top
J3,48.925,-21.24,180.0,top
J4,55.15,-18.3,270.0,top
J5,48.725,-2.55,90.0,top
J6,89.425,-25.45,90.0,top
J7,7.1,-20.575,0.0,top
R1,67.325,-27.6,0.0,top
R10,88.825,-15.55,0.0,top
R11,60.1,-27.35,90.0,top
R12,52.275,-15.6,180.0,top
R13,77.0,-21.8,0.0,top
R14,39.66,-20.365,180.0,top
R15,37.36,-22.615,90.0,top
R16,32.01,-23.065,180.0,top
R17,37.36,-19.565,90.0,top
R18,43.0,-10.9,270.0,top
R19,27.51,-20.465,0.0,top
R2,17.6,-24.225,90.0,top
R20,27.51,-22.015,180.0,top
R21,28.26,-18.115,90.0,top
R22,25.91,-18.915,0.0,top
R3,96.75,-16.7,0.0,top
R4,96.75,-23.05,180.0,top
R5,94.35,-20.7,90.0,top
R6,96.75,-21.5,180.0,top
R7,82.825,-20.25,0.0,top
R8,85.15,-19.45,90.0,top
R9,91.925,-15.55,0.0,top
RV1,43.0,-14.0,90.0,bottom
RV2,62.0,-14.0,90.0,bottom
RV3,24.0,-14.0,90.0,bottom
RV4,81.0,-14.0,90.0,bottom
U1,89.75,-20.7,0.0,top
U2,42.5,-25.84,0.0,top
U3,70.8,-20.4,0.0,top
U4,32.835,-19.5,0.0,top
U5,49.95,-9.35,90.0,top
