Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_12x9.5RM7.6,13.6,-41.7,90,top
C1,22p,C_0603_1608Metric,32.8,-20.9,180,top
C2,1n,C_0603_1608Metric,21,-22.3,0,top
C3,22p,C_0603_1608Metric,32.8,-26.9,0,top
C4,0.1u,C_0603_1608Metric,73,-26.2,0,top
C5,0.1u,C_0603_1608Metric,45.7,-26.2,0,top
C6,0.1u,C_0603_1608Metric,79.7,-26.2,0,top
C7,0.1u,C_0603_1608Metric,66.2,-26.2,0,top
C8,0.1u,C_0603_1608Metric,52.5,-26.2,0,top
C9,0.1u,C_0603_1608Metric,59.4,-26.2,0,top
C10,10u,C_0603_1608Metric,32.8,-30.1,0,top
C11,0.1u,C_0603_1608Metric,32.8,-28.5,0,top
C12,C_Polarized_US,CP_Radial_D10.0mm_P5.00mm,29.9,-8.8,90,top
D1,1N4148W,D_SOD-123,4.5,-34.2,0,top
D2,LED,LED_D3.0mm,24,-39,90,top
J1,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,17.5,-22.3,0,top
J2,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,49.2,-40.6,0,top
J3,Conn_01x19,PinSocket_1x19_P2.54mm_Vertical,37.45,-35.075,90,top
J4,Conn_01x19,PinSocket_1x19_P2.54mm_Vertical,37.45,-9.675,90,top
J5,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,54.2,-40.6,0,top
J6,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,39.2,-40.5,0,top
J7,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,44.2,-40.6,0,top
J8,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,59.2,-40.5,0,top
J9,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,64.2,-40.5,0,top
J10,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,69.2,-40.6,0,top
J11,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,34.2,-40.6,0,top
J12,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,74.2,-40.6,0,top
J13,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,29.2,-40.6,0,top
Q1,MMBT3904,SOT-23,17.6,-27.3,-90,top
R1,10,R_0603_1608Metric,17.6,-30.1,0,top
R2,1k,R_0603_1608Metric,21,-26.1,0,top
R3,1k,R_0603_1608Metric,24,-34.3,180,top
U1,HS210,SOIC-16_3.9x9.9mm_P1.27mm,26.3,-25.4,0,top
U2,MCP41010,SOIC-8_3.9x4.9mm_P1.27mm,44.4,-21.6,-90,top
U3,MCP41010,SOIC-8_3.9x4.9mm_P1.27mm,51.2,-21.6,-90,top
U4,MCP41010,SOIC-8_3.9x4.9mm_P1.27mm,71.7,-21.6,-90,top
U5,MCP41010,SOIC-8_3.9x4.9mm_P1.27mm,58.1,-21.6,-90,top
U6,MCP41010,SOIC-8_3.9x4.9mm_P1.27mm,78.5,-21.6,-90,top
U7,MCP41010,SOIC-8_3.9x4.9mm_P1.27mm,64.9,-21.6,-90,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,32.8,-23.9,90,top
