Designator,Mid X,Mid Y,Rotation,Layer
C1,44.28,-19.78,0.0,top
C14,67.7,-11.567621,270.0,top
C2,89.6,-14.0,270.0,top
C3,40.18,-19.03,270.0,top
C4,41.78,-22.13,90.0,top
C40,39.7,-35.06762,270.0,top
C41,39.25,-30.232379,90.0,top
C45,61.28,-24.53,0.0,top
C46,55.98,-24.53,0.0,top
C47,50.88,-24.53,0.0,top
C48,45.83,-24.53,0.0,top
C49,59.88,-36.88,90.0,top
C5,25.55,-21.182379,90.0,top
C50,62.43,-36.88,90.0,top
C51,44.63,-36.93,90.0,top
C6,50.93,-19.78,180.0,top
C7,58.43,-22.18,90.0,top
D1,65.65,-7.25,90.0,top
D2,78.27,-25.0,0.0,bottom
J2,61.8,-17.075,180.0,top
J3,96.9,-24.315,0.0,top
J4,2.9,-24.61,0.0,top
J5,65.0,-3.7,270.0,top
J6,50.025,-38.75,90.0,top
R1,56.83,-22.18,90.0,top
R10,40.18,-22.13,90.0,top
R11,76.9,-27.95,180.0,top
R12,68.5,-19.95,0.0,top
R2,51.78,-22.13,90.0,top
R3,48.53,-22.13,90.0,top
R35,57.38,-36.88,90.0,top
R4,50.13,-22.13,90.0,top
R5,46.68,-22.13,90.0,top
R6,43.38,-22.13,90.0,top
R7,45.03,-22.13,90.0,top
R8,44.28,-18.18,180.0,top
R9,41.78,-19.03,90.0,top
RV1,25.5,-14.0,90.0,bottom
RV2,52.5,-14.0,90.0,bottom
RV3,79.5,-14.0,90.0,bottom
SW1,93.25,-21.8,0.0,top
SW2,85.95,-21.81,0.0,top
SW3,89.6,-21.81,0.0,top
U1,44.64,-34.1,90.0,top
U7,61.55,-8.1,180.0,top
