Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_P5.08mm,1,15n,
"C10, C2, C5, C8",CP_Radial_P2.5mm,4,47u,
C3,C_Disc_P5.08mm,1,10n,
"C4, C6",C_Disc_P5.08mm,2,100n,
J1,SolderWire-0.75sqmm_1x02_P7mm_D1.25mm_OD3.5mm,1,Battery,
"J2, J4",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,2,AudioJack3,
"R1, R5, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,3.6k,
"R10, R11, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,200,
"R12, R13, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,10k,
"R2, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,200k,
RV1,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,A10k,
SW1,Switch_Toggle_SPDT_Mini_SolderLug,1,SW_SPDT,
U1,DIP-8_W7.62mm,1,TL072,
U2,DIP-8_W7.62mm,1,NE5532,
