Designator,Mid X,Mid Y,Rotation,Layer
C1,7.5,-6.25,0.0,top
C10,-23.0,-3.5,90.0,top
C2,-23.0,4.0,90.0,top
C3,0.0,-10.5,0.0,top
C4,-20.0,-12.5,90.0,top
C5,23.0,-3.5,90.0,top
C6,20.0,-12.5,90.0,top
C8,23.0,4.0,90.0,top
J2,11.4,20.5,45.0,top
J4,-11.4,20.5,315.0,top
R1,-7.5,4.7,180.0,top
R10,7.5,4.7,0.0,top
R11,7.5,2.05,0.0,top
R12,7.5,7.35,0.0,top
R13,7.5,10.0,0.0,top
R2,-7.5,2.05,180.0,top
R3,-7.5,-0.65,180.0,top
R4,-7.5,7.35,0.0,top
R5,-7.5,10.0,180.0,top
R6,7.5,-0.6,0.0,top
R7,7.5,-3.25,180.0,top
R8,-7.5,-6.05,0.0,top
R9,-7.5,-3.35,180.0,top
RV1,-2.5,15.0,90.0,top
SW1,0.0,-22.0,90.0,top
U1,-16.5,-11.5,0.0,top
U2,9.0,-11.5,0.0,top
